id,state,date,amount,currency_name,currency_code,from,to,description
1473389,EXECUTED,2023-08-30T00:58:36Z,18420,Ruble,RUB,Mastercard 3093124722348405,American Express 6950002720800411,Перевод с карты на карту
1453305,PENDING,2020-06-07T02:07:57Z,12234,Ruble,RUB,Visa 6644696207526766,Mastercard 8548964838326541,Перевод с карты на карту
5062109,CANCELED,2023-02-22T23:31:32Z,22084,Rupiah,IDR,Visa 4615344126170341,American Express 9623944081120709,Перевод с карты на карту
911402,EXECUTED,2022-09-23T21:18:55Z,22900,Real,BRL,null,Счет 16907871406772371230,Открытие вклада
2654815,EXECUTED,2022-06-22T14:01:51Z,17009,Won,KRW,Mastercard 8450843686918928,Visa 8423771049920650,Перевод с карты на карту
5271661,EXECUTED,2020-03-06T10:36:55Z,20641,Dollar,NAD,null,Счет 50213882587846819729,Открытие вклада
2765968,EXECUTED,2022-04-12T04:23:56Z,18108,Euro,EUR,Mastercard 6684485418787422,American Express 5590025961851078,Перевод с карты на карту
5434073,PENDING,2020-10-16T00:33:26Z,33634,Euro,EUR,Discover 6079985810069539,American Express 4187003076609282,Перевод с карты на карту
3438176,EXECUTED,2020-05-12T14:33:20Z,22425,Franc,CHF,Visa 9207427562974659,Visa 1817584319181554,Перевод с карты на карту
5305859,CANCELED,2022-02-03T13:43:10Z,18940,Ruble,RUB,American Express 7575628496748633,American Express 8201977224219171,Перевод с карты на карту
3144804,EXECUTED,2023-03-16T18:31:45Z,20039,Yen,JPY,Visa 4687457674551698,Mastercard 7020431385343637,Перевод с карты на карту
1740751,EXECUTED,2021-09-08T22:23:31Z,34518,Yuan Renminbi,CNY,Счет 30907628929571752743,Счет 35863137762112178701,Перевод со счета на счет
2826625,EXECUTED,2022-01-21T02:42:20Z,28564,Krona,SEK,Visa 2434960923372230,Счет 62389310054726732233,Перевод организации
1738376,CANCELED,2020-10-24T04:37:19Z,13638,Yen,JPY,Discover 5838445654310457,Mastercard 1227184681117045,Перевод с карты на карту
4224500,EXECUTED,2022-06-03T06:31:10Z,30213,Rupiah,IDR,Visa 8252693278307583,American Express 1020430252920987,Перевод с карты на карту
212502,EXECUTED,2021-12-03T14:07:06Z,21574,Ruble,RUB,Счет 22246813624466689601,Счет 60148056083328746527,Перевод со счета на счет
114972,EXECUTED,2023-06-24T01:38:20Z,32229,Shilling,KES,Discover 5007569730322358,American Express 2958606820247711,Перевод с карты на карту
671277,CANCELED,2021-10-11T07:33:00Z,30298,Krona,SEK,Счет 41751976927052945311,Счет 34771784449161833522,Перевод со счета на счет
2226926,EXECUTED,2022-06-05T09:24:11Z,14160,Dollar,CAD,null,Счет 44814275798453591877,Открытие вклада
2145163,EXECUTED,2023-09-05T11:13:43Z,16619,Peso,PHP,Discover 8101224027967385,Discover 9262726024187665,Перевод с карты на карту
141605,CANCELED,2023-10-07T19:46:26Z,33915,Yuan Renminbi,CNY,Discover 6442824834772713,American Express 1908030991731165,Перевод с карты на карту
5336250,CANCELED,2021-06-05T05:02:49Z,23921,Dollar,CAD,Mastercard 2120006197645411,Mastercard 1057574701753363,Перевод с карты на карту
5379915,PENDING,2023-08-20T02:53:09Z,24850,Yen,JPY,null,Счет 36811391490389049691,Открытие вклада
368297,PENDING,2022-04-20T01:43:35Z,12362,Sol,PEN,null,Счет 73197209028710375773,Открытие вклада
5237484,EXECUTED,2023-07-08T04:43:13Z,13203,Ringgit,MYR,null,Счет 73197209028710375773,Открытие вклада
744365,PENDING,2022-05-03T05:05:11Z,22652,Dollar,USD,Discover 8093960331401116,Mastercard 1224722159463490,Перевод с карты на карту
1221992,PENDING,2021-02-19T13:25:33Z,12918,Ruble,RUB,Mastercard 9775497812609116,Discover 5944506116473459,Перевод с карты на карту
3518973,PENDING,2023-10-11T01:03:20Z,19653,Peso,PHP,Visa 0383646897791685,American Express 9980918985573635,Перевод с карты на карту
1938515,EXECUTED,2020-06-28T08:05:59Z,32403,Real,BRL,Visa 6286846678069943,Discover 7898377001181997,Перевод с карты на карту
1889327,CANCELED,2021-07-25T20:51:01Z,20737,Pula,BWP,Visa 7604360599392546,Visa 7942944018455176,Перевод с карты на карту
2436288,EXECUTED,2022-05-24T05:35:23Z,23234,Peso,PHP,American Express 2565635444214491,American Express 0552044753090993,Перевод с карты на карту
3436241,EXECUTED,2023-10-20T21:00:39Z,31741,Ruble,RUB,American Express 5313948287096164,Discover 0329774489991288,Перевод с карты на карту
443315,EXECUTED,2021-08-07T07:02:43Z,34519,Tenge,KZT,American Express 5416179213106657,Mastercard 0160958229240256,Перевод с карты на карту
1830974,EXECUTED,2022-12-30T06:06:05Z,19103,Yuan Renminbi,CNY,Discover 0466471728887794,Visa 8191405185557433,Перевод с карты на карту
2959230,EXECUTED,2022-01-02T10:07:04Z,28500,Rupiah,IDR,Mastercard 4570025114606266,Discover 4329800474005700,Перевод с карты на карту
3513019,PENDING,2022-09-02T05:55:52Z,13127,Yuan Renminbi,CNY,Discover 3114252861244492,Visa 4627389712448189,Перевод с карты на карту
3317385,EXECUTED,2022-07-10T09:24:28Z,15540,Won,KPW,Visa 8673177068866844,Discover 4042375592477197,Перевод с карты на карту
72219,EXECUTED,2023-08-09T03:54:59Z,28868,Koruna,CZK,null,Счет 65771273382053145248,Открытие вклада
5120424,EXECUTED,2022-06-21T04:33:39Z,16623,Yuan Renminbi,CNY,American Express 1754261926422113,American Express 1912246230374869,Перевод с карты на карту
2515993,EXECUTED,2023-08-17T02:28:57Z,20586,Yuan Renminbi,CNY,Discover 6821572971032824,Discover 7288948724353737,Перевод с карты на карту
3652648,CANCELED,2023-07-13T15:38:12Z,22479,Franc,XOF,Счет 70461671296717370428,Счет 52445033864538587695,Перевод со счета на счет
2189906,EXECUTED,2022-01-02T17:51:07Z,26418,Euro,EUR,Счет 32587148810728665069,Счет 80122675086638061370,Перевод со счета на счет
1867775,EXECUTED,2021-03-26T19:04:51Z,24063,Dollar,NZD,American Express 3879946924528107,Счет 29289561285454675688,Перевод организации
2683394,EXECUTED,2023-10-27T15:35:50Z,21830,Yuan Renminbi,CNY,null,Счет 93654567547380187741,Открытие вклада
2239866,EXECUTED,2022-04-18T18:51:53Z,24567,Yuan Renminbi,CNY,null,Счет 90027224340328984499,Открытие вклада
4003913,EXECUTED,2022-12-06T19:06:56Z,14530,Peso,PHP,Discover 4573982311494005,Mastercard 4935476635235091,Перевод с карты на карту
2979557,EXECUTED,2023-07-13T13:58:49Z,26279,Euro,EUR,Счет 28694210812172680482,Счет 92356841239087789939,Перевод со счета на счет
405067,EXECUTED,2022-11-28T17:52:43Z,21008,Baht,THB,null,Счет 70415428501870008564,Открытие вклада
2914913,EXECUTED,2020-11-18T21:17:05Z,13888,Rupiah,IDR,American Express 8063285986699650,Mastercard 1695740993384893,Перевод с карты на карту
1441986,EXECUTED,2020-04-30T08:37:17Z,14356,Rupiah,IDR,American Express 9143190180821093,Visa 1754001355342425,Перевод с карты на карту
4967751,CANCELED,2022-08-01T17:16:42Z,18241,Ruble,RUB,Discover 2510997056903668,Visa 5176450912871980,Перевод с карты на карту
1379139,PENDING,2022-05-24T20:41:16Z,14160,Manat,AZN,Discover 9659662475890450,Discover 1864760256062832,Перевод с карты на карту
3497395,EXECUTED,2020-04-13T22:31:01Z,27769,Krona,SEK,null,Счет 45541055869952197495,Открытие вклада
4612198,EXECUTED,2020-07-19T03:15:49Z,21163,Pound,EGP,null,Счет 06046825775893944654,Открытие вклада
4443353,EXECUTED,2022-03-11T09:55:29Z,26401,Yuan Renminbi,CNY,American Express 9169124843687636,Visa 2934477295358099,Перевод с карты на карту
1522040,EXECUTED,2023-04-09T13:31:31Z,15020,Peso,CLP,Mastercard 9147085041595377,American Express 8088958095150478,Перевод с карты на карту
4398796,EXECUTED,2022-01-10T02:59:51Z,20293,Zloty,PLN,American Express 1247216335781067,Mastercard 5715944033433205,Перевод с карты на карту
5064981,EXECUTED,2020-06-14T21:50:32Z,34544,Shilling,KES,null,Счет 87162801326160110075,Открытие вклада
1387413,EXECUTED,2020-07-09T23:28:14Z,16028,Shekel,ILS,null,Счет 97502862442965698121,Открытие вклада
2948386,EXECUTED,2023-04-01T12:02:06Z,26405,Yuan Renminbi,CNY,American Express 7682181798464709,Счет 93737829810907580744,Перевод организации
3123481,CANCELED,2023-07-15T01:02:42Z,13578,Rupiah,IDR,Mastercard 5680368377764854,American Express 1298846920198860,Перевод с карты на карту
512976,EXECUTED,2022-02-10T02:59:35Z,14342,Naira,NGN,American Express 2479027296417707,Mastercard 2118723450691392,Перевод с карты на карту
3306334,CANCELED,2023-10-04T21:31:52Z,20825,Yen,JPY,Visa 1029598091153362,Счет 66817481936655029590,Перевод организации
2611948,PENDING,2022-02-08T17:16:05Z,15911,Ruble,RUB,Discover 6348321385395461,Mastercard 7325946652944710,Перевод с карты на карту
4210081,CANCELED,2022-06-01T20:40:14Z,20882,Pound,EGP,null,Счет 20588590232394945686,Открытие вклада
4924104,PENDING,2021-06-07T17:23:26Z,13036,Ariary,MGA,Mastercard 9984189726356135,American Express 9496683068632548,Перевод с карты на карту
1453528,EXECUTED,2020-12-26T12:22:59Z,24614,Sol,PEN,American Express 0874438357929097,American Express 2043827488585986,Перевод с карты на карту
3833383,EXECUTED,2020-10-20T04:30:41Z,24706,Yuan Renminbi,CNY,Mastercard 1333736453866448,American Express 2001671059412435,Перевод с карты на карту
1300014,EXECUTED,2021-03-23T17:28:38Z,16276,Dram,AMD,Discover 5462310471174855,Mastercard 5051030951146472,Перевод с карты на карту
3456154,PENDING,2022-02-02T11:46:42Z,16193,Yuan Renminbi,CNY,Visa 8600999617172909,Visa 2844866498722428,Перевод с карты на карту
3685558,CANCELED,2022-05-06T15:14:42Z,26570,Ruble,RUB,Mastercard 7004562378757988,Mastercard 0825255021365694,Перевод с карты на карту
1165374,EXECUTED,2023-05-28T07:44:37Z,18924,Dong,VND,Discover 6573220609816188,Discover 9351896556617255,Перевод с карты на карту
726807,EXECUTED,2023-02-10T07:31:41Z,19955,Dirham,MAD,Счет 06636613357397067467,Счет 03936975258912077744,Перевод со счета на счет
1902667,CANCELED,2020-02-24T08:31:11Z,25859,Yuan Renminbi,CNY,Discover 1601792099597360,Visa 0293980784507463,Перевод с карты на карту
327307,CANCELED,2020-12-05T15:49:25Z,14306,Yuan Renminbi,CNY,American Express 9028896043787749,Visa 5928608009409515,Перевод с карты на карту
439075,EXECUTED,2020-07-27T01:54:01Z,28260,Zloty,PLN,American Express 3972065433339638,Visa 6170999529692389,Перевод с карты на карту
1927497,EXECUTED,2020-10-29T22:42:43Z,29760,Peso,PHP,Счет 21135355953772999542,Счет 55887498738869235832,Перевод со счета на счет
4389067,EXECUTED,2023-11-10T05:12:57Z,20539,Peso,CUP,Visa 1046601770510966,Visa 3844034954049614,Перевод с карты на карту
2785941,CANCELED,2021-02-09T05:55:48Z,22227,Peso,PHP,Visa 1211736622503262,Discover 4573836066399753,Перевод с карты на карту
2756393,EXECUTED,2020-07-30T13:08:10Z,14422,Yuan Renminbi,CNY,null,Счет 32748708969169200933,Открытие вклада
599027,PENDING,2022-02-21T02:56:37Z,12373,Yuan Renminbi,CNY,American Express 6311535048493715,Discover 6103555688511371,Перевод с карты на карту
3080764,EXECUTED,2020-04-05T17:15:05Z,24757,Yuan Renminbi,CNY,Mastercard 0249962785252276,Mastercard 3497558588626189,Перевод с карты на карту
680730,EXECUTED,2022-07-26T12:57:15Z,29492,Baht,THB,Visa 9022982028350429,Mastercard 2122026619911974,Перевод с карты на карту
3327991,PENDING,2020-01-02T14:56:56Z,21565,Tenge,KZT,Visa 6101438539947726,Mastercard 1093643052935424,Перевод с карты на карту
3036684,EXECUTED,2022-03-25T01:54:48Z,22818,Ruble,RUB,American Express 5289343085624249,Счет 37876144219366357273,Перевод организации
3061748,CANCELED,2020-06-17T11:50:30Z,28322,Yuan Renminbi,CNY,Visa 1359185537481291,Discover 0843636635891776,Перевод с карты на карту
2960398,EXECUTED,2022-06-18T06:48:37Z,24677,Shekel,ILS,Discover 7324391935910827,American Express 7921742013738369,Перевод с карты на карту
216268,EXECUTED,2021-12-16T16:30:47Z,29188,Rupiah,IDR,null,Счет 85522230938749372427,Открытие вклада
3113401,EXECUTED,2021-09-13T01:50:43Z,20356,Shekel,ILS,Visa 0723667105507272,American Express 9942207938412902,Перевод с карты на карту
1802648,EXECUTED,2022-12-31T08:49:27Z,21591,Yen,JPY,Discover 8645223566080480,Discover 1228012474535802,Перевод с карты на карту
603367,CANCELED,2022-05-01T09:41:33Z,19253,Rial,IRR,Visa 8108956690063326,Счет 37037858323164558189,Перевод организации
3425560,EXECUTED,2023-08-05T07:49:52Z,28847,Kuna,HRK,Mastercard 6032275004365579,Mastercard 0183189965945417,Перевод с карты на карту
4768701,PENDING,2022-07-28T07:11:34Z,14922,Rupiah,IDR,Discover 9845271582621310,Discover 2528293109343153,Перевод с карты на карту
230224,EXECUTED,2023-05-06T05:22:48Z,26228,Hryvnia,UAH,American Express 8220175236913887,Mastercard 4802624159804288,Перевод с карты на карту
2850514,PENDING,2020-12-28T17:53:13Z,23686,Lek,ALL,Discover 9576458861815708,Mastercard 4321975182864595,Перевод с карты на карту
4234448,CANCELED,2023-09-08T10:10:17Z,24237,Hryvnia,UAH,null,Счет 97314618742902814769,Открытие вклада
1279142,PENDING,2020-02-12T13:37:23Z,16376,Yen,JPY,Mastercard 5444471272260826,Visa 9213489075974563,Перевод с карты на карту
1388171,EXECUTED,2023-07-14T15:11:56Z,12150,Dollar,BSD,Mastercard 3773074923283720,Mastercard 6858852082832671,Перевод с карты на карту
5338004,EXECUTED,2020-03-30T20:13:31Z,24128,Yuan Renminbi,CNY,Mastercard 0188382670172599,Счет 29330609189568305731,Перевод организации
2514202,EXECUTED,2021-09-04T02:12:30Z,31609,Real,BRL,null,Счет 04404258976890644934,Открытие вклада
1617731,EXECUTED,2021-11-10T16:27:02Z,29279,Rupiah,IDR,Счет 91299877420956980418,Счет 97627688254834676901,Перевод со счета на счет
349946,EXECUTED,2023-08-06T06:33:13Z,23742,Rupiah,IDR,null,Счет 31470633517516216972,Открытие вклада
2300960,PENDING,2020-05-10T21:18:59Z,21170,Euro,EUR,American Express 2077167756122624,Счет 12692107571051189313,Перевод организации
3015231,PENDING,2022-01-13T03:15:00Z,21470,Rupiah,IDR,Mastercard 9800302102501629,Mastercard 2405382947502377,Перевод с карты на карту
2413465,CANCELED,2021-05-02T07:34:35Z,34576,Euro,EUR,American Express 9594487834827260,Discover 3052691668030750,Перевод с карты на карту
2037712,EXECUTED,2023-07-31T16:44:50Z,11562,Ruble,RUB,American Express 6902837737884644,American Express 1368443024115273,Перевод с карты на карту
1380530,PENDING,2023-05-22T12:49:50Z,32118,Dong,VND,Discover 1625204231900607,Mastercard 6547698108887955,Перевод с карты на карту
724939,CANCELED,2020-10-28T00:51:11Z,20082,Yuan Renminbi,CNY,Discover 2285798156070275,Visa 9513919641330425,Перевод с карты на карту
3232597,EXECUTED,2020-11-22T14:09:37Z,28208,Franc,XAF,American Express 2933932533113054,Discover 6226871375970632,Перевод с карты на карту
4200454,EXECUTED,2022-03-29T14:25:48Z,22057,Real,BRL,Mastercard 5392506448758414,American Express 2183728061661120,Перевод с карты на карту
1476839,EXECUTED,2021-05-11T06:26:06Z,24829,Krona,SEK,null,Счет 89272272688021038059,Открытие вклада
5334238,EXECUTED,2023-07-08T18:38:35Z,32091,Yuan Renminbi,CNY,null,Счет 01298833605277162165,Открытие вклада
3415187,PENDING,2022-10-10T00:58:18Z,25180,Rupiah,IDR,American Express 0358075953034789,Visa 7020384213026064,Перевод с карты на карту
3393428,CANCELED,2020-10-03T18:58:14Z,26366,Zloty,PLN,Discover 6041689343106380,American Express 1961663078355667,Перевод с карты на карту
4026887,PENDING,2021-11-18T07:16:36Z,34138,Rupiah,IDR,Discover 1747353075279525,Visa 3125438085014296,Перевод с карты на карту
1351481,EXECUTED,2020-05-03T22:09:55Z,30476,Rupiah,IDR,Visa 6798617315186545,Mastercard 6604789652209646,Перевод с карты на карту
3586258,EXECUTED,2021-02-15T09:26:06Z,31645,Rupiah,IDR,null,Счет 56497431151249388507,Открытие вклада
1156922,EXECUTED,2021-08-01T10:40:04Z,31380,Yuan Renminbi,CNY,American Express 3337753321208366,Счет 98342889863750388397,Перевод организации
879954,PENDING,2022-02-20T00:34:43Z,19037,Euro,EUR,American Express 7505798122789172,American Express 4033942449270190,Перевод с карты на карту
2443999,EXECUTED,2020-09-06T16:05:37Z,26734,Rupiah,IDR,Mastercard 9726709734708235,American Express 5069436335433663,Перевод с карты на карту
2352308,PENDING,2021-12-10T02:57:49Z,11358,Lempira,HNL,Mastercard 9035732695110352,Visa 8440267076775146,Перевод с карты на карту
2854598,EXECUTED,2022-01-31T14:36:17Z,33186,Tugrik,MNT,Счет 46066065234140686072,Счет 25990613209266883598,Перевод со счета на счет
